"Item Name"," Quantity Last Mar 7 2014"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A2 Bond Paper"," 100"," 1090"," "," 50"," 1000"
"A2 Bond Paper"," 1000"," 1000"," "," 30"," 200"
"Car Engine"," 98"," 100"," "," 50"," 200"
"Coleman Water Jug"," 95"," 95"," "," 50"," 200"
Keyboard," 200"," 200"," "," 50"," 100"
"Lucky Me Instant Noodles"," 160"," 200"," "," 100"," 200"
"Lucky Me Pancit Canton"," 0"," 0"," Need to Request"," 50"," 200"
"Mongoloid Pencil"," -658"," 392"," "," 50"," 200"
Mouse," 0"," 250"," "," 50"," 250"
"Orion Ruler"," 0"," 0"," Need to Request"," 50"," 200"
"Panda Ballpen"," 400"," 400"," "," 50"," 200"
"Pilot Ballpen"," 980"," 980"," "," 50"," 200"
"RJ Cable"," 0"," 490"," "," 50"," 500"
"Sledge Hammer"," 0"," 0"," Need to Request"," 50"," 200"
"Staedtler Eraser"," 70"," 170"," "," 50"," 200"
Telephone," 93"," 93"," "," 50"," 200"
Watercolor," 575"," 600"," "," 50"," 200"
